Category	Term	Resonse	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0009963	positive regulation of flavonoid biosynthetic process	3	0.382653061	0.005405823	Q9FI78	297	7	17920	25.85858586	0.913711607	0.15237663	0.147646535
GOTERM_BP_DIRECT	GO:0080036	regulation of cytokinin-activated signaling pathway	3	0.382653061	0.00906698	"Q9SAZ5, Q940D0, P62598"	297	9	17920	20.11223345	0.983706148	0.215221466	0.208540534
GOTERM_BP_DIRECT	GO:2000031	regulation of salicylic acid mediated signaling pathway	4	0.510204082	0.009732178	"Q9C7N2, Q93WU8"	297	27	17920	8.93877042	0.987971665	0.219460622	0.212648097
GOTERM_BP_DIRECT	GO:0010236	plastoquinone biosynthetic process	3	0.382653061	0.013553973	Q9FI78	297	11	17920	16.45546373	0.997905191	0.277856437	0.269231181
GOTERM_BP_DIRECT	GO:0016567	protein ubiquitination	19	2.423469388	0.019013928	"Q9SN21, Q9FDX1, Q0WS06, Q8L9T5, Q9ZV51, F4JKK0, Q9LZV8, Q9FGJ6, Q9FFN9, Q9M313, Q8W104, Q8GWV5, Q9LQ92, Q8RX01, Q9C7R6, Q9FNB3, Q9LF64"	297	636	17920	1.802511488	0.999829547	0.357303399	0.346211941
GOTERM_BP_DIRECT	GO:0009626	plant-type hypersensitive response	6	0.765306122	0.025111715	"Q4F883, Q9C7N2, F4JSE7, Q9C7R6"	297	100	17920	3.62020202	0.999989824	0.442444147	0.428709738
GOTERM_BP_DIRECT	GO:0009414	response to water deprivation	13	1.658163265	0.025506758	"Q8LPQ8, Q940D0, F4JKK0, Q04980, Q9M9W9, Q9FK04, P93758, Q9SVM8, P42759, Q39193, Q39096, Q9LIS2, P62598"	297	382	17920	2.053343205	0.999991527	0.442444147	0.428709738
GOTERM_BP_DIRECT	GO:0009735	response to cytokinin	5	0.637755102	0.027280045	"Q9ZWJ9, Q84TF4, Q940D0, Q9XI19, P62598"	297	69	17920	4.372224662	0.99999628	0.449379105	0.435429421
GOTERM_BP_DIRECT	GO:0000024	maltose biosynthetic process	2	0.255102041	0.032763781	O23553	297	2	17920	60.33670034	0.999999711	0.449379105	0.435429421
GOTERM_BP_DIRECT	GO:0006898	receptor-mediated endocytosis	2	0.255102041	0.032763781	B2GVM7	297	2	17920	60.33670034	0.999999711	0.449379105	0.435429421
GOTERM_BP_DIRECT	GO:0010647	positive regulation of cell communication	2	0.255102041	0.032763781	F4HW02	297	2	17920	60.33670034	0.999999711	0.449379105	0.435429421
GOTERM_BP_DIRECT	GO:0034097	response to cytokine	2	0.255102041	0.032763781	P0DO12	297	2	17920	60.33670034	0.999999711	0.449379105	0.435429421
GOTERM_BP_DIRECT	GO:0009651	response to salt stress	13	1.658163265	0.03359337	"Q04980, Q9FIL7, Q9FK04, P93758, Q9LSY6, Q9SVM8, Q93ZH9, Q39193, Q9C7A2, F4I9E1, Q9LIR4, Q9LIS2, Q9FM80"	297	399	17920	1.965857404	0.999999804	0.449379105	0.435429421
GOTERM_BP_DIRECT	GO:0052544	defense response by callose deposition in cell wall	3	0.382653061	0.038649054	"B2GVM7, Q9C7N2"	297	19	17920	9.526847422	0.999999982	0.484186755	0.469156567
GOTERM_BP_DIRECT	GO:0009736	cytokinin-activated signaling pathway	5	0.637755102	0.054110821	"Q9ZWJ9, Q9SAZ5, Q940D0, O82503, P62598"	297	86	17920	3.507947694	1	0.617673802	0.598499892
GOTERM_BP_DIRECT	GO:0005983	starch catabolic process	3	0.382653061	0.054782599	"Q9LF50, O23553"	297	23	17920	7.870004392	1	0.617673802	0.598499892
GOTERM_BP_DIRECT	GO:0010038	response to metal ion	3	0.382653061	0.063587747	Q9C7N2	297	25	17920	7.24040404	1	0.646008442	0.625954965
GOTERM_BP_DIRECT	GO:0015812	gamma-aminobutyric acid transport	2	0.255102041	0.064457605	F4HW02	297	4	17920	30.16835017	1	0.646008442	0.625954965
GOTERM_BP_DIRECT	GO:0006858	extracellular transport	2	0.255102041	0.064457605	"Q9SVM8, Q9LIS2"	297	4	17920	30.16835017	1	0.646008442	0.625954965
GOTERM_BP_DIRECT	GO:0048511	rhythmic process	3	0.382653061	0.077605036	"O04211, Q8L8T7, O80877"	297	28	17920	6.464646465	1	0.719708207	0.697366933
GOTERM_BP_DIRECT	GO:0048367	shoot system development	5	0.637755102	0.079268152	"Q9FI78, Q8RWW0, Q940D0, Q9FM80, P62598"	297	98	17920	3.078403078	1	0.719708207	0.697366933
GOTERM_BP_DIRECT	GO:0010017	red or far-red light signaling pathway	3	0.382653061	0.082474505	"Q8L5W8, O04211, Q9XI19"	297	29	17920	6.241727621	1	0.719708207	0.697366933
GOTERM_BP_DIRECT	GO:0010150	leaf senescence	6	0.765306122	0.086695325	"C0LGN2, Q9ZWJ9, Q04980, Q9SJ52, Q9SAA7, Q8VYT3"	297	142	17920	2.549438042	1	0.719708207	0.697366933
GOTERM_BP_DIRECT	GO:0010359	regulation of anion channel activity	2	0.255102041	0.095116298	B2GVM7	297	6	17920	20.11223345	1	0.719708207	0.697366933
GOTERM_BP_DIRECT	GO:0031537	regulation of anthocyanin metabolic process	2	0.255102041	0.095116298	"Q940D0, P62598"	297	6	17920	20.11223345	1	0.719708207	0.697366933
GOTERM_BP_DIRECT	GO:0006865	amino acid transport	4	0.510204082	0.09574832	"Q9SVG0, Q84WE9, F4HW02, Q9SX98"	297	66	17920	3.656769717	1	0.719708207	0.697366933
GOTERM_BP_DIRECT	GO:0010114	response to red light	4	0.510204082	0.09574832	"O82256, O04211, Q8L8T7, Q9ZT84"	297	66	17920	3.656769717	1	0.719708207	0.697366933
